Example No., Name of Website / Email                        , Is It Malicious?, Reason for Malicious
          1, PayPal — Account Verification Login Page       , YES             , "Domain is 'paypa1.com' — uses number 1 instead of letter L (typosquatting). Form requests SSN last 4 digits and full card number alongside login credentials — PayPal never asks for these during login. Urgency banner threatens permanent account suspension within 24 hours."
          2, Netflix — Billing Suspended Email              , YES             , "Sender domain is 'netflix-update.net' — not the official netflix.com. Email uses generic 'Dear Customer' greeting with no personalization. Subject line uses urgency threat of account suspension. CTA button links to a non-Netflix domain."
          3, Chase Bank — Security Login Page               , YES             , "Domain is 'chase-secure-online.com' — not chase.com. Login form requests full 16-digit card number and 4-digit PIN in addition to username and password. Legitimate banks never ask for full card number and PIN on a login page."
          4, Google — Account Suspended Email               , YES             , "Sender email is 'security@accounts-google.co' — note .co instead of .com. URL uses subdomain trick: 'accounts.google.com.security-alert.co' which is controlled by security-alert.co, not Google. Urgency language demands immediate verification."
          5, Apple ID — Verification Login Page             , YES             , "Domain is 'apple-id-support.com' — not apple.com. Form collects full name, date of birth, payment card expiry, and CVV in addition to Apple ID credentials. Apple never requests this volume of personal data on a verification page."
          6, IRS — Tax Refund Email                         , YES             , "Sender domain is 'irs-gov-services.com' — not irs.gov. Real US government agencies only use .gov domains. Email promises a specific unsolicited refund amount. Requires clicking a link to claim — IRS initiates contact by mail, not email."
          7, Microsoft — Windows Security Alert Popup       , YES             , "Fake browser alert impersonates Windows Defender. Displays a countdown timer to create panic. Shows a toll-free phone number — Microsoft never provides phone numbers in browser security alerts. Fake virus infection count is displayed to create fear."
          8, Facebook — Login Page Clone                    , YES             , "Domain is 'faceb00k.com' — uses zeros instead of the letter O (typosquatting). Logo and color scheme are slightly off from authentic Facebook branding. No SSL padlock despite being a login page collecting credentials."
          9, Elon Musk — Bitcoin Giveaway Website           , YES             , "Domain is 'elon-bitcoin-giveaway.com' — celebrity impersonation scam. Promises to double any Bitcoin sent — a classic advance fee / too-good-to-be-true fraud. No legitimate investment or giveaway requires sending cryptocurrency first."
         10, Amazon — Secure Sign-In Login Page             , YES             , "Domain is 'amazon-secure-signin.net' — not amazon.com. The login form requests credit card details during the sign-in step. Legitimate Amazon login pages only ask for email and password. Uses HTTPS to appear trustworthy despite being a phishing page."
